Ticket #,Type,Open Date,Summary of the Request,Client,Status,Priority,Rank,Res. Assignee,SLA Start,Projected Violation,Change Order,Chg Ord Status,SBM Status,Violation Date,Resource Grp,Client View,Close Date,CS Group,External Ticket,Area,Resolution Code
22901,Incident,5/6/2013 11:50,CBKNAQA-3255 Possible cached pipelines that should not be,Christopher and Banks,Closed Unresolved,P3,,"Murack, David ",,,,,,,v11 CBK Launch Team,NO,6/7/2013 21:02,CBK.TAM,,v11.Storefront Related Issues.Store Cartridge,
22899,Incident,5/6/2013 11:29,Generate Site map in ASH to reproduce errors,Christopher and Banks,Closed,P3,,"Jadhav, Sameer ",,,,,,,v11 CBK Launch Team,NO,5/24/2013 13:25,CBK.TAM,,"v11.Webanalytics.Referrals, Searches, Sessions and Visitors",
22897,Incident,5/6/2013 11:23,A Sunday Treat banner is still left over from yesterday - needs to be replaced - this did not get pushed when rep ran last night.   ,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/7/2013 12:08,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22895,Incident,5/6/2013 11:08,CBKNAQA-3250 Notifications of emails-Canada requires unchecked,Christopher and Banks,Closed,P3,14,,,,,,,,v11 CBK Launch Team,YES,6/5/2013 11:50,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22891,Incident,5/6/2013 10:48,CBKNAQA-3326 Missing images on site that were pushed,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/20/2013 11:58,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
22884,Incident,5/6/2013 9:47,CBKNAQA-3221 Orphan products in Off DC,Christopher and Banks,Closed,P3,,"Murack, David ",,,,,,,v11 CBK Launch Team,YES,5/20/2013 17:12,CBK.TAM,,v11.Storefront Related Issues.Category,
22882,Incident,5/6/2013 9:39,CBKNAQA-3218 Friendship Rewards field needs to be added to the address page ASAP,Christopher and Banks,Closed,P3,42,,,,,,,,v11 CBK Launch Team,YES,5/24/2013 13:25,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22881,Incident,5/6/2013 9:39,CBKNAQA-3253 (OMS) Out of Balance Sterling GL Files Sent to SAP,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/9/2013 14:22,CBK.TAM,,v11.Finance Related Issues,
22876,Incident,5/6/2013 9:17,Order jobs failed - duplicate records in the geogrpahy dimension appeared because jobs were run in parallel.,Christopher and Banks,Closed,P3,,,,,,,Change is Live,,v11 CBK Launch Team,NO,5/7/2013 15:12,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22871,Incident,5/6/2013 6:42,CBKNAQA-3254 Pepperjam and Clearasaleing clean up,Christopher and Banks,Closed,P3,,"Tamburrino, Veronica ",,,,,Change is Live,,v11 CBK Launch Team,NO,6/24/2013 10:56,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22867,Incident,5/6/2013 0:07,CJB/CBK - Unable to add to cart and checkout,Christopher and Banks,Closed,P1,,,,,,,,,v11 CBK Launch Team,NO,5/6/2013 1:19,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22854,Incident,5/5/2013 8:17,CBKNAQA-3313 - Webstore sending PLCC auth requests for negative amounts,Christopher and Banks,Closed,P2,,"Sheth, Vaishal ",,,,,,,v11 CBK Launch Team,NO,6/24/2013 10:45,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22853,Incident,5/5/2013 8:13,(OMS) CBKNAQA-3213 VPRS-15026 OMS allowing cancel of released orders,Christopher and Banks,Closed,P3,,"Gelle, Sandeep ",,,,,,,v11 CBK Launch Team,NO,7/20/2013 20:31,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
22852,Incident,5/5/2013 7:41,CBKNAQA-3211 Automate the DW load process. The process to set up run the datawarehouse using Talend Scheduler,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/18/2013 22:05,CBK.TAM,,v11.GSI Store Reporting.GSI Store Reporting,
22851,Incident,5/5/2013 6:02,[CBKNAQA-3212] CBK - Order Job for the DW  failed due to the extn_reason_code being too long,"Sriram, Saradha ",Closed,P1,,,,,,,,,v11 CBK Launch Team,NO,5/6/2013 1:41,,,v11.Order Processing Related Issues.Order Flow,
22842,Incident,5/4/2013 14:44,CBKNAQA-3220 AOS sales not being tagged as AOS sales,Christopher and Banks,Closed,P2,,"Boyd, Colin ",,,,,,,v11 CBK Launch Team,YES,5/9/2013 14:39,CBK.TAM,,v11.Reporting Related Issues.Finance,
22835,Incident,5/4/2013 8:07,CBKNAQA-3208 AOS Performance is slow,Christopher and Banks,Closed,P1,,"Jadhav, Sameer ",,,,,,,v11 CBK Launch Team,NO,5/23/2013 16:16,CBK.TAM,,v11.Performance Related Issues.Gomez,
22833,Incident,5/3/2013 18:27,"Promo for CB working in Edit, not Live",Central Tools Support User,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/6/2013 12:52,,,v11.Storefront Related Issues.WebStore Display,
22832,Incident,5/3/2013 17:48,CBKNAQA-3219 In AOS CB free shipping promo doesn't work in cart,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/17/2013 18:13,CBK.TAM,,v11.Storefront Related Issues.Checkout,
