Aris,App.Name,Region,Geographical.Region,Client.Countries,Bus.Area,Functional.Group,Remedy.Support.Queue,Service.entitlement,App.Size,Average.Monthly.Ticket.Volume.Incidents,Average.Monthly.Ticket.Volume..P1,Average.Monthly.Ticket.Volume.P2,Average.Monthly.Ticket.Volume.P3,Average.Monthly.Ticket.Volume.P4,Average.Monthly.Ticket.Volume.Problems,Average.Monthly.Ticket.Volume.CRs,Approx.Number.of.Users,Application.Complexity,Ease.of.Transition,Platform.OS.Type,Database.Type,Comments,Average.MOnthly.Ticket.Volume.Incidents,App.Score,groups
EU-1711,PROMOTOOL (PIT) EU-1711,Europe,Europe,"Belgium, Netherlands",Sell to Customer,Front Office,KFE Benelux STC Sales Appl Support,Silver,large,3,NA,NA,3,NA,3,,50,High,,,N/A,Calculated from Avg of Silver apps in region,3,0.002015127,5
EU-2699,ACERTA EU-2699,Europe,Europe,Belgium,Manage People,Corporate Functions,KFE Benelux HTR Appl Support,Silver,large,3,NA,NA,3,NA,3,,10,High,,,N/A,Calculated from Avg of Silver apps in region,3,0.000403025,5
EU-2707,BCOMM EU-2707,Europe,Europe,"Belgium, Netherlands",Manage People,Corporate Functions,KFE Benelux HTR Appl Support,Silver,large,3,NA,NA,3,NA,3,,3000,High,,Windows Server,SQL Server 10.50.2500.0,Calculated from Avg of Silver apps in region,3,0.120907613,5
EU-1238,DEALMAN (YEB) EU-1238,Europe,Europe,Italy,Sell to Customer,Front Office,KFE Italy STC Sales Appl Support,Silver,large,4,NA,NA,4,NA,4,,35,High,,Windows Server,N/A,Based on Remedy 3 month data,4,0.001880785,5
EU-1923,HUMAN MANAGER EU-1923,EEMEA,EEMEA,Ghana,Manage People,Corporate Functions,,Gold,large,5,NA,NA,1,4,NA,,72,High,,Java,"MICROSOFT SQL ENTER MGR. VER 8.0 
MS SQL 2005",,5,0.004836305,9
EU-2982,OPAL MEC Server  EU-2982,EEMEA,EEMEA,Pakistan,Record to Report,Corporate Functions,CEEMAE-UAE Dubai Onsite HCL,Silver,large,5,NA,5,NA,NA,NA,0.25,7,High,,Windows Server,MS SQL Server 2008 R2 Ent,,5,0.000470196,10
EU-3061,Synchrolink (EDI) BIMO EU-3061,EEMEA,EEMEA,Morocco,Plan to Cash,Integrated Supply Chain,CEEMA Morocco Service Desk,Silver,large,5,NA,1,2,2,NA,,1,High,risky,0,n/a,,5,6.72E-05,10
AP-617,TOLAS WAREHOUSE MANAGEMENT SYSTEM AP-617,Asia Pacific,Asia Pacific,Australia,Plan to Cash,Integrated Supply Chain,AP Australia Appl Support,Gold,large,8,NA,4,2,2,NA,,1,High,,0,SQL,,8,0.000107473,3
EU-1563,SCORE REPORTING SYSTEM EU-1563,Multi Region,"Asia Pacific, Europe, Latin America, EEMEA",,Plan to Cash,Integrated Supply Chain,EMEA PTC Manugistics Product Supply,Silver,large,8,NA,NA,8,NA,6,2,150,High,,AIX,Oracle 9.2.06,Based on Remedy 3 month data,8,0.016121015,5
EU-2599,SQL: CHICAGO EU-2599,EEMEA,EEMEA,Russian Federation,Sell to Customer,Front Office,CEEMA Russia Service Desk,Bronze,large,9,NA,4,5,NA,NA,2,5,High,,Windows Server, MS SQL 2008 R2 Enterprise 64 bit,,9,0.000604538,2
